ATASM;10.238.0.10;Magdeburg;10.248.156.65;AT Unknown;TCP;22
ATCAS;10.238.0.10;Magdeburg;10.236.34.69;AT Unknown;TCP;22
ATCLH;10.238.0.10;Magdeburg;10.171.243.86;Switzerland;TCP;22
ATCLH;10.238.0.10;Magdeburg;10.248.156.65;Switzerland;TCP;22
ATECSCF;10.238.0.10;Magdeburg;10.237.94.17;Wien;TCP;22
ATECSCF;10.238.0.10;Magdeburg;10.65.110.17;Graz;TCP;22
ATFAME;10.238.0.10;Magdeburg;10.248.154.234;Wien;TCP;22
ATNGCP;10.238.0.10;Magdeburg;10.248.159.103;AT Unknown;TCP;22
ATOCS;10.238.0.10;Magdeburg;10.236.34.1;Graz;TCP;22
ATOCS;10.238.0.10;Magdeburg;10.236.34.15;Graz;TCP;22
ATOCS;10.238.0.10;Magdeburg;10.236.34.16;Graz;TCP;22
ATOCS;10.238.0.10;Magdeburg;1
ATOCS;10.238.0.10;Magdeburg;10.236.34.3;Graz;TCP;22
ATOCS;10.238.0.10;Magdeburg;10.244.15.65;Wien;TCP;22
ATOCS;10.238.0.10;Magdeburg;10.244.15.66;Wien;TCP;22
ATOCS;10.238.0.10;Magdeburg;10.244.15.67;Wien;TCP;22
ATOCS;10.238.0.10;Magdeburg;10.244.15.79;Wien;TCP;22
ATOCS;10.238.0.10;Magdeburg;10.244.15.80;Wien;TCP;22
ATPOP;10.238.0.10;Magdeburg;10.248.156.65;Wien;TCP;22
ATSDP;10.238.0.10;Magdeburg;10.236.48.49;Wien;TCP;22
ATSDP;10.238.0.10;Magdeburg;10.236.48.50;Wien;TCP;22
ATSDP;10.238.0.10;Magdeburg;10.236.56.17;Graz;TCP;22
ATSDP;10.238.0.10;Magdeburg;10.236.56.18;Graz;TCP;22
ATSDP;10.238.0.10;Magdeburg;10.236.56.26;Graz;TCP;22
ATSDP;10.238.0.10;Magdeburg;10.236.56.27;Graz;TCP;22
ATSDP;10.238.0.10;Magdeburg;10.236.56.28;Graz;TCP;22
ATSDP;10.238.0.10;Magdeburg;10.236.56.29;Graz;TCP;22
ATSDP;10.238.0.10;Magdeburg;10.244.20.17;Wien;TCP;22
ATSDP;10.238.0.10;Magdeburg;10.244.20.18;Wien;TCP;22
ATSDP;10.238.0.10;Magdeburg;10.244.20.27;Wien;TCP;22
ATSDP;10.238.0.10;Magdeburg;10.244.20.28;Wien;TCP;22
ATT3l;10.238.0.10;Magdeburg;10.171.243.240;AT Unknown;TCP;22
ATXTC;10.238.0.10;Magdeburg;10.248.159.160;AT Unknown;TCP;22
